customer_id,cluster_id,cluster_name,pca_1,pca_2,cluster_distance
5740,0,Clientes recientes con potencial,1.130835,-1.399208,1.382721
5741,0,Clientes recientes con potencial,0.242917,-0.911376,2.398532
5742,2,Clientes inactivos o en riesgo,1.736697,0.632076,1.273794
5743,2,Clientes inactivos o en riesgo,1.538291,0.464198,0.794223
5744,0,Clientes recientes con potencial,1.187235,-1.270580,1.550563
5745,2,Clientes inactivos o en riesgo,1.037673,1.580496,1.698117
5746,2,Clientes inactivos o en riesgo,1.406637,0.363363,0.586773
5747,2,Clientes inactivos o en riesgo,1.340748,1.063812,0.660605
5748,2,Clientes inactivos o en riesgo,1.720504,0.619259,1.257438
5749,3,Clientes con mas devoluciones,1.810489,3.708570,1.662621
5750,0,Clientes recientes con potencial,0.865366,-1.516975,1.137076
5751,2,Clientes inactivos o en riesgo,-1.003130,-0.073497,5.297583
5752,2,Clientes inactivos o en riesgo,0.738044,-0.789954,1.871120
1,1,Clientes de alto valor,-6.728640,0.368946,0.685252
2,1,Clientes de alto valor,-8.514172,1.100845,3.522177
3,1,Clientes de alto valor,-11.136867,0.802977,4.891230
4,1,Clientes de alto valor,-4.975256,0.356629,2.892217
5,1,Clientes de alto valor,-7.075336,0.710926,1.642109
6,1,Clientes de alto valor,-7.070300,0.513350,0.593873
7,1,Clientes de alto valor,-4.968349,0.235730,2.339406
8,1,Clientes de alto valor,-6.178153,0.413483,1.531150
9,1,Clientes de alto valor,-5.299661,-0.072294,2.231266
10,1,Clientes de alto valor,-6.011828,0.569069,1.410944
11,1,Clientes de alto valor,-5.522790,0.408359,1.606316
12,1,Clientes de alto valor,-8.142957,0.926527,1.931098
13,1,Clientes de alto valor,-5.765849,0.093047,1.715865
14,1,Clientes de alto valor,-9.414268,0.206569,4.709108
15,2,Clientes inactivos o en riesgo,-2.083803,0.052161,3.838621
16,1,Clientes de alto valor,-6.411490,0.673818,1.821905
17,1,Clientes de alto valor,-7.581519,0.763560,1.820314
18,1,Clientes de alto valor,-5.870700,0.278833,2.450147
19,1,Clientes de alto valor,-8.519203,0.831810,2.024655
20,1,Clientes de alto valor,-7.537208,0.581302,1.615613
21,1,Clientes de alto valor,-6.385718,0.359937,1.833335
22,1,Clientes de alto valor,-8.186614,1.339453,3.416001
23,1,Clientes de alto valor,-7.384665,0.671182,1.252787
24,1,Clientes de alto valor,-5.492328,0.504606,1.907520
25,1,Clientes de alto valor,-9.358430,0.717403,2.878058
26,1,Clientes de alto valor,-10.834298,0.896994,4.316548
27,1,Clientes de alto valor,-8.200689,0.509868,1.922768
28,1,Clientes de alto valor,-3.442970,0.365714,3.711386
29,1,Clientes de alto valor,-5.040971,1.162734,4.753088
30,1,Clientes de alto valor,-5.513323,0.275037,1.778747
31,1,Clientes de alto valor,-8.573128,0.525573,2.007254
